recommendation_id,source_id,extraction_note_id,original_or_adapted,upstream_source_id,section,subsection,table_or_figure,page,paragraph_or_item,age_group,therapy_direction,population_qualifiers,treatment_phase,analyte,measurement_name,unit,assay_or_lab_context,recommendation_type,comparison_operator,lower_bound,upper_bound,single_threshold,non_numeric_instruction,route,formulation,dosing_interval,specimen_timing,time_since_dose_or_application,short_source_excerpt,faithful_paraphrase,required_context,unknowns,claims_not_supported,comparison_group,comparable_status,noncomparability_reason,extracted_by,extraction_date,verification_status,human_verified_by,human_verification_date,another_review_needed
REC0001,SRC0001,EXT0001,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender females,Table 15,3890,Item 2a,adolescent_and_adult,feminizing,Applies to adolescents after pubertal induction has been completed and to adults receiving feminizing hormone therapy.,not_specified,testosterone_unspecified,Serum testosterone levels,ng/dL,,upper_threshold,less_than,,,50,,,,,not_specified,,Serum testosterone levels should be <50 ng/dL.,"For transgender females, the guideline states that serum testosterone should be below 50 ng/dL.","Table 15 presents a standard monitoring plan for transgender females receiving estrogens, gonadotropin suppression, or antiandrogens. The passage does not specify testosterone fraction, assay, route, formulation, specimen timing, or treatment phase for this threshold. The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15.","The source says serum testosterone but does not specify total, free, or another testosterone fraction. The assay method is not specified. Giltay et al. reference 160 is cited in the preceding monitoring-plan discussion, but its exact relationship to this individual instruction is unclear.","This passage does not establish that the measurement is total testosterone, does not specify an assay or specimen timing, does not establish equivalence with other testosterone thresholds, and does not support patient-specific interpretation.",,undetermined,,AI-assisted draft: Gemini 3.1 Pro; implemented by GPT-5.3-Codex,2026-08-02,verified,Tommi,2026-08-12,no
REC0002,SRC0001,EXT0002,unclear,,3.0 Hormonal Therapy for Transgender Adults,Transgender females,,3888,,adult,feminizing,,not_specified,estradiol,serum estradiol,pg/mL,,target_interval,between,100,200,,,oral;transdermal;intramuscular,estradiol,,not_specified,,"Clinicians should measure serum estradiol and serum testosterone and maintain them at the level for premenopausal females (100 to 200 pg/mL and <50 ng/dL, respectively).","For adult feminizing therapy, the guideline instructs clinicians to measure serum estradiol and maintain it at the stated premenopausal-female level of 100–200 pg/mL.","The immediately preceding source text states that serum estradiol can be used to monitor oral, transdermal, and intramuscular estradiol; those explicit contextual route and formulation details are retained in the structured fields. Blood testing cannot monitor conjugated estrogens or synthetic estrogen use. The source does not give separate numerical targets by route or establish clinical equivalence among routes.",Specimen timing is not specified. Assay methodology is not specified. Recommendation-level provenance is unclear.,"The extracted passage does not establish applicability to adolescents. It does not establish that the 100–200 pg/mL interval applies to conjugated or synthetic estrogens. It does not claim that oral, transdermal, and intramuscular administration require separate numerical intervals. It does not establish that the interval is directly comparable to intervals from other sources without later contextual review. It does not offer patient-specific laboratory interpretation or treatment advice.",,undetermined,,AI-assisted draft: Gemini 3.1 Pro,2026-08-07,verified,Tommi,2026-08-12,no
REC0003,SRC0001,EXT0003,unclear,,3.0 Hormonal Therapy for Transgender Adults,Transgender females,,3888,,adult,feminizing,,not_specified,testosterone_unspecified,serum testosterone,ng/dL,,upper_threshold,less_than,,,50,,not_specified,,,not_specified,,"Clinicians should measure serum estradiol and serum testosterone and maintain them at the level for premenopausal females (100 to 200 pg/mL and <50 ng/dL, respectively).","For adult feminizing therapy, the guideline narrative instructs clinicians to maintain serum testosterone at <50 ng/dL.",The narrative context for feminizing therapy mentions maintaining levels at the level for premenopausal females.,The passage specifies serum testosterone but does not specify the testosterone fraction. Assay methodology is not specified. Specimen timing and treatment phase are not specified.,This passage does not explicitly establish that the measurement must be total testosterone. It does not establish applicability to adolescents.,,undetermined,,AI-assisted draft: Gemini 3.1 Pro,2026-08-08,verified,Tommi,2026-08-12,no
REC0004,SRC0001,EXT0004,unclear,,3.0 Hormonal Therapy for Transgender Adults,Transgender males,,3886,,adult,masculinizing,,not_specified,testosterone_unspecified,testosterone values,ng/dL,Assay-dependent,physiologic_range,approximately,320,1000,,achieve testosterone values... typically 320 to 1000 ng/dL,parenteral;transdermal,,,not_specified,,"achieve testosterone values in the normal male range (typically approximately 320 to 1000 ng/dL, assay-dependent)","For adult masculinizing therapy, the guideline narrative describes typically achieving testosterone values of approximately 320 to 1000 ng/dL, noting this range is assay-dependent.",The same sentence explicitly identifies parenteral or transdermal preparations as the route context for achieving testosterone values in the normal male range. The source explicitly notes that the approximately 320–1000 ng/dL range is assay-dependent.,Assay methodology is not specified.,This passage describes a typical physiological range and does not establish a universal strict treatment target interval. It does not establish that the measurement must be total testosterone.,,undetermined,,AI-assisted draft: Gemini 3.1 Pro,2026-08-08,verified,Tommi,2026-08-12,no
REC0005,SRC0001,EXT0005,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender females,Table 15,3890,Item 2,adolescent_and_adult,feminizing,Applies to adolescents after pubertal induction has been completed and to adults receiving feminizing hormone therapy.,not_specified,testosterone_unspecified,serum testosterone,,,monitoring_frequency,not_applicable,,,,Measure serum testosterone... every 3 mo.,not_specified,,,not_specified,,Measure serum testosterone... every 3 mo.,"For transgender female adolescents after completed pubertal induction and adults, the Table 15 monitoring plan instructs clinicians to measure serum testosterone every 3 months.",Table 15 applies to monitoring for transgender females. The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15.,"Assay specificity missing. Reference 160 (Giltay et al.) is cited in the narrative preceding this table, but its exact relationship to this individual instruction is unclear.",Does not establish target boundaries or that Table 15 is explicitly adapted from reference 160.,,undetermined,,AI-assisted draft: Gemini 3.1 Pro,2026-08-08,verified,Tommi,2026-08-12,no
REC0006,SRC0001,EXT0006,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender females,Table 15,3890,Item 2,adolescent_and_adult,feminizing,Applies to adolescents after pubertal induction has been completed and to adults receiving feminizing hormone therapy.,not_specified,estradiol,estradiol,,,monitoring_frequency,not_applicable,,,,Measure... estradiol every 3 mo.,not_specified,,,not_specified,,Measure... estradiol every 3 mo.,"For transgender female adolescents after completed pubertal induction and adults, the Table 15 monitoring plan instructs clinicians to measure estradiol every 3 months.",The source notes that measurements of estradiol in blood can be challenging and monitoring should be done through laboratories participating in external quality control. The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15.,"Reference 160 (Giltay et al.) is cited in the narrative preceding this table, but its exact relationship to this individual instruction is unclear.",Does not establish target boundaries or that Table 15 is explicitly adapted from reference 160.,,undetermined,,AI-assisted draft: Gemini 3.1 Pro,2026-08-08,verified,Tommi,2026-08-12,no
REC0007,SRC0001,EXT0007,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender females,Table 15,3890,Item 2b,adolescent_and_adult,feminizing,Applies to adolescents after pubertal induction has been completed and to adults receiving feminizing hormone therapy.,not_specified,estradiol,Serum estradiol,pg/mL,,upper_threshold,less_than_or_equal,,,200,,not_specified,,,not_specified,,Serum estradiol should not exceed the peak physiologic range: 100–200 pg/mL.,"For transgender female adolescents after completed pubertal induction and adults receiving feminizing therapy, the guideline states that serum estradiol should not exceed the peak physiologic range of 100-200 pg/mL.",The full peak physiologic range provided is 100–200 pg/mL. The source notes that measurements of estradiol in blood can be challenging and monitoring should be done through laboratories participating in external quality control. The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15.,"Reference 160 (Giltay et al.) is cited in the narrative preceding this table, but its exact relationship to this individual instruction is unclear.",This passage does not independently establish 100 pg/mL as a required lower target. It does not establish that Table 15 is explicitly adapted from reference 160.,,undetermined,,AI-assisted draft: Gemini 3.1 Pro,2026-08-08,verified,Tommi,2026-08-12,no
REC0008,SRC0001,EXT0008,unclear,,3.0 Hormonal Therapy for Transgender Adults,Transgender males,,3886,Evidence following Recommendation 3.3,adult,masculinizing,,general,testosterone_unspecified,testosterone,,Specific assay not stated; the preceding normal-range description is assay-dependent.,qualitative_instruction,not_applicable,,,,Avoid sustained supraphysiologic levels of testosterone.,parenteral;transdermal,,,not_specified,,Sustained supraphysiologic levels of testosterone increase the risk of adverse reactions and should be avoided.,"For adult masculinizing therapy, the guideline instructs clinicians to avoid sustained supraphysiologic testosterone levels.",The instruction follows a statement that parenteral or transdermal preparations can be used to achieve testosterone values in the normal male range and points to the adverse-outcome section.,The testosterone fraction is not specified. No numerical definition of supraphysiologic is supplied in this sentence. Recommendation-level provenance is unclear.,"This instruction does not establish a numerical ceiling, a universal target interval, formulation-specific equivalence, or patient-specific treatment advice.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-11,verified,Tommi,2026-08-12,no
REC0009,SRC0001,EXT0009,unclear,,3.0 Hormonal Therapy for Transgender Adults,Transgender females,,3888,Evidence following Recommendation 3.3,adult,feminizing,,general,estradiol,serum estradiol levels,,,qualitative_instruction,not_applicable,,,,"Serum estradiol levels can be used to monitor oral, transdermal, and intramuscular estradiol.",oral;transdermal;intramuscular,estradiol,,not_specified,,"Clinicians can use serum estradiol levels to monitor oral, transdermal, and intramuscular estradiol.","For adult feminizing therapy, the guideline identifies serum estradiol measurement as usable for monitoring oral, transdermal, and intramuscular estradiol.",The next sentence states that blood tests cannot monitor conjugated estrogens or synthetic estrogen use; that limitation is retained as context rather than expanded into another in-scope analyte record.,Specimen timing and assay methodology are not specified. The passage does not state whether one numerical target applies identically across routes. Recommendation-level provenance is unclear.,"This passage does not establish route equivalence, route-specific target intervals, monitoring of conjugated or synthetic estrogens by serum estradiol, or patient-specific interpretation.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-11,verified,Tommi,2026-08-12,no
REC0010,SRC0001,EXT0010,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender males,Table 14,3890,Item 2,adolescent_and_adult,masculinizing,Applies to adolescents after pubertal induction has been completed and to adults receiving testosterone therapy.,not_specified,testosterone_unspecified,serum testosterone,,,monitoring_frequency,not_applicable,,,,Measure serum testosterone every 3 months until levels are in the normal physiologic male range.,,,,not_specified,,Measure serum testosterone every 3 mo until levels are in the normal physiologic male range.,The Table 14 monitoring plan instructs clinicians to measure serum testosterone every three months until levels are in the normal physiologic male range.,Table 14 applies to transgender males on testosterone therapy. Its footnote states that the table is adapted from Lapauw et al. (reference 154) and Ott et al. (reference 159). The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15 and points transgender male adolescents at adult dosing to Table 14.,"The testosterone fraction, assay, route, and exact treatment phase are not specified in Item 2. The table-level adaptation note does not identify which upstream reference supports this individual instruction.","This instruction does not define a numerical interval, prove that the analyte is total testosterone, or establish recommendation-level dependence on either cited reference.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-11,verified,Tommi,2026-08-12,no
